Reference|Ancien_depot|Appellation|Ancienne_appartenance|Ancienne_attribution|Auteur|Bibliographie|Commentaires|Presence_image|Date_d_acquisition|Date_de_depot|Decouverte_collecte|Denomination|Lieu_de_depot|Description|Mesures|Date_de_mise_a_jour|Date_creation|Domaine|Departement|Date_sujet_represente|Ecole_pays|Epoque|Exposition|Genese|Geographie_historique|Historique|Inscription|Numero_inventaire|Appellation_Musee_de_France|Lien_base_Arcade|Lieu_de_creation_utilisation|Localisation|Lien_Video|MANQUANT|MANQUANT_COM|Millesime_de_creation|Millesime_d_utilisation|Code_Museofile|Nom_officiel_musee|Genre|Onomastique|Precisions_sur_l_auteur|Precisions_decouverte_collecte|Periode_de_l_original_copie|Periode_de_creation|Periode_d_utilisation|Precisions_inscriptions|Precisions_lieux_creations|Precisions_sujets_representes|Precisions_utilisation|References_Memoires|References_Merimee|Reference_MAJ|References_Palissy|Region|Sujet_Represente|Lien_INHA|Source_de_la_representation|Statut_juridique|Materiaux_techniques|Titre|Utilisation|Ville|Lien_site_associe|coordonnees|Artiste_sous_droits|Date_entree_dans_le_domaine_public
M1039000101|||Caricatures - Fond Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,4 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||numéro,inscription donnant l'identité du modèle,inscription (dos)|2007.0.101.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||en haut à droite, au crayon à papier : '115' en bas à droite, encre : 'Frédière' ; au crayon à papier :'non reçu'   dos : 'T 247'||M. Frédière : représenté de trois quart à droite, tête et yeux baissés Porte des lunettes rondes, une noeud papillon, cheveux coiffés en arrière.#Croquis ' en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux.||||||Auvergne-Rhône-Alpes|portrait charge (homme, lunettes, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (mine de plomb, encre de Chine)|Caricature de M. Fredière||Lyon||45.760912, 4.831492||
M1039000045|||Caricatures - Fonds Duclos 2001||ARNAUD Georges (dessinateur)|||oui|2001/03||||||L. 13,5 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||Lyon, Musée des Hospices Civils-Hôtel-Dieu, mars-août 2001 ' Humoristique diagnostic'||||signature,annotation concernant la représentation|2007.0.45.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Georges ARNAUD Certains de ses portraits-charge furent publiés dans la revue des médecins et internes lyonnais, le Crocodile.|||2e quart 20e siècle||signature en forme de sablier, derrière la nuque manuscrite, au crayon : 'grandeur nature'||Personnage masculin représenté de profil à gauche front haut avec houppette sur le sommet du crâne, lunettes et moustaches||||||Auvergne-Rhône-Alpes|portrait charge (buste, homme : moustache, lunettes)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine)|Caricature d'un personnage non identifié (titre factice)||Lyon||45.760912, 4.831492||
M1039000124|||Caricatures - Fonds Duclos  2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,5 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||inscription donnant l'identité du modèle|2007.0.124.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||en bas à droite, à l'encre : 'Rochaix' ; au crayon à papier :'NR'||Est représenté presque de face, tête et yeux baissés, cheveux coiffés vers l'arrière, porte cravate.#Anthelme Rochaix ? (1881-1944), Professeur d'hygiène à la Faculté de médecine de Lyon. Croquis 'en candidat' (?) au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Ne fut pas reçu au concours.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (aquarelle, encre de Chine)|Caricature du docteur Rochaix||Lyon||45.760912, 4.831492||
M1039000083|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-66||oui|2001/03||||||L. 13,4 cm ; l. 21 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||Lyon, Musée des Hospices Civils, Hôtel-Dieu, mars-août 2001, 'Humoristique Diagnostic'.|||voir aussi : cf. inv. 000.084 et 000.131 (reproduction donnée ultérieurement)|numéro,annotation concernant la représentation|2007.0.83.M||||Lyon ;musée des hospices civils de Lyon||||1900-1950||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||1ère moitié 20e siècle||en bas à droite, au crayon à papier : '624 a 7' à droite : 'à 870' bord gauche, au crayon à papier : 'ramener hauteur à 16 centim'||Le docteur Bériel est vêtu d'un costume, main gauche écartant son veston, d'une chemise à col dur. Il porte une large barbe, moustache et bésicles. Il est coiffé d'un canotier.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin : barbe, moustache, lunettes, debout, canotier)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine, mine de plomb)|Caricature du docteur Bériel||Lyon||45.760912, 4.831492||
M1039000121|||Caricatures - Fonds Duclos  2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,5 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||inscription donnant l'identité du modèle|2007.0.121.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||en bas à droite, au crayon à papier : 'Molin nr'.||M. Molin : représenté de face, yeux baissés. Visage long, nez long et fin, petite bouche avec rictus, air pincé, porte cravate.#Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Molin ne fut pas reçu au concours.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine)|Caricature de M. Molin||Lyon||45.760912, 4.831492||
M1039000119|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,5 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône|||||||voir aussi : n° inv. 000.130|inscription donnant l'identité du modèle|2007.0.119.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||en bas à droite, au crayon à papier : 'Bouquin reçu'||M. Bouquin : représenté de face, tête et yeux baissés. Chevelure épaisse, sourcils en accent circonflexe, bouche charnue et étroite. Porte cravate.#Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Bouquin fut reçu au concours.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine)|Caricature de M. Bouquin||Lyon||45.760912, 4.831492||
M1039000078|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-66||oui|2001/03||||||L. 13,5 cm ; l. 21 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||annotation concernant la représentation,numéro|2007.0.78.M||||Lyon ;musée des hospices civils de Lyon||||1900-1999||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||20e siècle||face, au crayon à papier : -annotation : '... tête à 3 cm' -en bas à droite, au crayon à papier : '123' -bord gauche '85' dos, au crayon à papier : 'T=386'||Représenté de profil à droite, en buste. Cheveux épais rejetés en arrière, nez pointu, menton fuyant, moustache à peine apparente.#Maurice Patel (1876-1967) Titulaire du Doctorat en Médecine (Lyon, 1901).Professeur de Médecine opératoire de 1925 à 1937. Professeur de Clinique gynécologique de 1937 à 1938. Professeur de Clinique chirurgicale de 1939 à 1943. Membre de l'Académie de médecine. Dir. d'une thèse d'exercice en Médecine soutenue à la Faculté de Médecine et de Pharmacie de Lyon en 1925.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine, crayon)|Caricature du docteur Patel||Lyon||45.760912, 4.831492||
M1039000041|||Caricatures - Fonds Duclos 2001||ARNAUD Georges (dessinateur)|||oui|2001/03||||||L. 20,9 cm ; l. 27 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||Lyon, Musée des Hospices Civils-Hôtel-Dieu, mars - août 2001 'Humoristique Diagnostic'||||signature,annotation concernant la représentation|2007.0.41.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Certains de ses portraits-charge furent publiés dans la revue des médecins et internes lyonnais, le Crocodile.|||2e quart 20e siècle||signature en forme de sablier, sur le col manuscrite, au crayon : 'réduire hauteur .... à 12 cent. et faire un 2° cliché à 3 cent ...'||docteur Albert Goyet (1884-1944) Médecin des hôpitaux de Lyon. Représenté de profil à gauche. sourcil froncé, porte moustache||||||Auvergne-Rhône-Alpes|portrait charge (buste : moustache, homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre noire)|Caricature du docteur Albert Goyet||Lyon||45.760912, 4.831492||
M1039000098|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,6 cm ; l. 21 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||numéro,inscription donnant l'identité du modèle,inscription (dos)|2007.0.98.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||angle supérieur droit au crayon à papier : '120' angle inférieur droit : 'Corrajeod ... ?' dos au crayon de couleur bleu : 'T 247'||M. Corrajeod : représenté de profil à droite. Cheveux en brosse, nez busqué et pointu.#Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux.||||||Auvergne-Rhône-Alpes|portrait charge (homme)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (encre de Chine, mine de plomb)|Caricature de M. Corajeod||Lyon||45.760912, 4.831492||
M1039000102|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-65-66||oui|2001/03||||||L. 13,5 cm ; l. 20,9 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône||||||||numéro,inscription donnant l'identité du modèle,inscription (dos)|2007.0.102.M||||Lyon ;musée des hospices civils de Lyon||||1930 vers||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||2e quart 20e siècle||en haut à droite, au crayon à papier : '90' en bas à droite, au crayon à papier : 'Melle Thiebaud' ; dessous, 'non reçue' en bas à droite, à l'encre 'Faure' et au dessous au crayon à papier 'NR' pour non reçu dos : 'T 247'||Melle Thiebaud : représentée presque de face, tête et yeux baissés, cheveux coiffés en arrière et retenus par un catogan, porte des lunettes rondes, est vêtue d'un chemiser à lavallière.#Croquis 'en candidat' au concours de l'Internat de Lyon. Paul Bonnet aime croquer ses confrères du jury et les candidats, heureux ou malheureux. Melle Thiebaud ne fut pas reçue au concours.||||||Auvergne-Rhône-Alpes|portrait charge (femme, lunettes, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (mine de plomb, encre de Chine)|Caricature de Melle Thiebaud ?||Lyon||45.760912, 4.831492||
M1039000095|||Caricatures - Fonds Duclos 2001||BONNET Paul (dessinateur)|Philippe PAILLARD, L'humour médecin, Caricatures du monde médical lyonnais (1890-1950), Lyon, Editions lyonnaises d'Art et d'Histoire, 2003, 64-66|inv. 000.094 sur papier vert|oui|2001/03||||||L. 8,8 cm ; l. 12 cm|2026-02-23|2016-06-22|dessin;vie professionnelle;hygiène - médecine - santé|Rhône|||||||voir aussi : cf. inv. 000.094||2007.0.95.M||||Lyon ;musée des hospices civils de Lyon||||1900-1950||M1039|musée des hospices civils de Lyon|||Paul Bonnet (1884-1959) Né à Saint Genis Laval (Rhône), Paul Bonnet fait ses études de médecine à Lyon. Interne en 1906, il s'engage pour une mission de chirurgien en Roumanie en 1917 et c'est dans un contexte difficile qu'il tombe amoureux de son infirmière anesthésiste qui le suivra ensuite en France. Chirurgien des Hôpitaux, il se spécialise en ophtalmologie. Passionné par l'enseignement, ses cours sont illustrés de dessins à la craie au tableau noir qui sont de vrais tableaux. Il rédige un ouvrage sur l'ophtalmologie dont il fera les dessins et qui servira de référence aux futurs ophtalmologues. Cette facilité pour croquer, Paul Bonnet en joue au quotidien et aime à saisir sur les lieux publics les attitudes de personnes qui lui plaisent, sur n'importe quel support (nappe en papier ...) Lorsqu'il était membre d'un jury il croquait le candidat tout en l'écoutant. En 1908, il mit en scène une revue 'effroyablement satirique' avec la collaboration des jeunes, dans laquelle les maîtres sont fortement égratignés. A tel point que le très respectable Lyon Médical se plaignit des excès de liberté de langage ; ce qui lui valut, en retour, une réplique du docteur Gros, alors président de l'Association des Anciens internes et toujours ardent défenseur de l'humour. Il participa activement à l'illustration du Crocodile et aux décors de la revue de l'Internat puis il passa le flambeau à ses trois enfants : Jean-Louis, Jacques et sa fille Ilinca. Il expose dès le début du siècle des paysages, aquarelles, dans divers Salons lyonnais, au Salon d'Automne dès 1911.|||1ère moitié 20e siècle||||Représenté de profil à gauche. Porte barbichette et moustache, monocle ou bésicles, calvitie prononcée, costume et cravate représentés par des stries.#Gabriel Nové-Josserand Né à Amplepluis (Rhône) le 3 octobre 1868, décédé en 1949. Interne des hôpitaux  (1889), chef de clinique du professeur Léopold Ollier (1892), docteur en médecine (1893), chirurgien des hôpitaux (1894). Il créé le service de chirurgie infantile à l'Hôpital de la Charité en 1897. Agrégé de chirurgie (1898-1907), il est chargé d'un cours complémentaire de chirurgie infantile(1906-1920). Professeur de clinique chirurgicale infantile et d'orthopédie (1920-1937). Il devient premier titulaire de la nouvelle chaire lyonnaise de chirurgie infantile et d'orthopédie créée en 1910.  Auteur en 1914 de 'La Rééducation professionnelle des mutilés'. En 1933, il installe le service de chirurgie infantile à l'hôpital de Grange-Blanche (Edouard Herriot). Président du IIè congrès international de chirurgie (Londres 1933). Officier de la Légion d'Honneur (1934) Correspondant de l'Académie de Médecine.||||||Auvergne-Rhône-Alpes|portrait charge (homme, médecin)|||propriété de l'établissement public;don manuel;Lyon;musée des hospices civils de Lyon|papier (imprimé)|Caricature du docteur Nové Josserand||Lyon||45.760912, 4.831492||
