museum,city,country,lead_source,lead_detail,source_reliability,resolution,x_agents
Salford Museum and Art Gallery,Salford,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Science Museum Group (Wellcome collection),London,GB,https://collection.sciencemuseumgroup.org.uk/objects/co84634/mummy-of-a-crocodile-egypt-2000-1001-bce,"Search result title 'Mummy of a crocodile, Egypt, 2000-1001 BCE | Science Museum Group Collection' (co84634) - not opened.",SECONDARY,IN_MASTER INST-GB-009,uk_north
"South/South-West/East England regional museums (Eton Myers, Harrow, Reading Ure & Reading Museum, Brighton, Maidstone, Norwich Castle, Colchester, Saffron Walden, RAMM Exeter, Torquay, Plymouth The Box, Royal Cornwall Truro, Dorset Museum, Russell-Cotes, Wiltshire Museum, Swindon, Haslemere, Hunterian RCS, Egypt Exploration Society)",UNKNOWN,GB,assignment checklist,"None searched (session WebSearch budget exhausted; orchestrator wrap-up). Resume with each museum's online DB, query 'crocodile' then filter mummy/animal remains",SECONDARY,OPEN,uk_south
Stockport Museum,Stockport,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Sunderland Museum; Dorman Museum (Middlesbrough); Hartlepool; Darlington,North-East England,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidates; not checked.,SECONDARY,OPEN,uk_north
Tullie House Museum,Carlisle,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
UK/other museums holding Petrie's Hawara crocodile mummies,UNKNOWN,GB,"Atherton-Woolham, S. 2015. Imaging Ancient Egyptian Crocodile Mummies from Hawara. In: Current Research in Egyptology 2014 (Oxbow), doi 10.2307/j.ctvh1ds9d.20",CT/X-ray of Hawara crocodile mummies held in several collections (not read),SCHOLARLY,OPEN,literature
Ulster Museum (National Museums NI); Armagh County Museum / Armagh Robinson Library,Northern Ireland,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),nationalmuseumsni.org reachable (200) but not searched.,SECONDARY,OPEN,uk_north
"University Museum of Zoology, Cambridge",Cambridge,GB,https://data.fitzmuseum.cam.ac.uk/id/object/49399,"Fitzwilliam E.1.1894 crocodile mummy was 'transferred' in 1894 from the University Museum of Zoology, Cambridge — the Zoology Museum may hold further crocodile mummies",OFFICIAL,OPEN,portals_world
University of Aberdeen Museums (Marischal collection),Aberdeen,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Bio Bank blog 2014-04-30: 18 animal mummies recorded; taxa not stated; catalogue not checked.,SECONDARY,OPEN,uk_north
Warrington Museum and Art Gallery,Warrington,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Bio Bank blog 2014-02-25: small collection of 4 animal mummies recorded; taxa not stated.,SECONDARY,OPEN,uk_north
West Park Museum,Macclesfield,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Bio Bank blog 2015-04-12: 8 mummies (incl. 3 coffin masks) CT-scanned; taxa not stated.,SECONDARY,OPEN,uk_north
Yorkshire Museum (York Museums Trust),York,GB,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),yorkmuseumstrust.org.uk/collections/search/?query=crocodile returned 200 but not parsed.,SECONDARY,OPEN,uk_north
"National Archaeological Museum, Athens (Egyptian collection)",Athens,GR,assignment candidate list,"Check Egyptian collection animal mummies (searchculture.gr, Europeana GR gave no hit)",SECONDARY,OPEN,central_east_europe
Archaeological Museum in Zagreb,Zagreb,HR,assignment candidate list; Crossref Čavka & Uranić 2014 (human mummies CT),"Egyptian collection (Uranić, Aegyptiaca Zagrabiensia 2007) - check for crocodile mummies",SECONDARY,OPEN,central_east_europe
"Museum of Fine Arts, Budapest (Szépművészeti Múzeum)",Budapest,HU,Search-engine titles for https://www.szepmuveszeti.hu/mutargyak/14576/ and /14577/,Official object pages 'Krokodilmúmia' and 'Krokodil múmia' blocked (HTTP 451); open from another network,SECONDARY,IN_MASTER INST-HU-001,central_east_europe
Savaria Museum,Szombathely,HU,savariamuseum.blog.hu post 2021-08-26,Baby crocodile mummy (Gothard collection); need inv. no./official source,SECONDARY,IN_MASTER INST-HU-002,central_east_europe
Semmelweis Museum of Medical History (Hungarian National Museum),Budapest,HU,"Crossref: Szvák et al. 2023, Anthropologischer Anzeiger 80: 233-240, DOI 10.1127/anthranz/2022/1587",'On some mummy findings' - check for animal/crocodile mummies,SCHOLARLY,OPEN,central_east_europe
National Museum of Ireland (Kildare St / Natural History),Dublin,IE,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),museum.ie returns 403; not checked.,SECONDARY,OPEN,uk_north
Trinity College Dublin Zoological Museum; UCC; Hunt Museum Limerick,Ireland,IE,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidates; not checked.,SECONDARY,OPEN,uk_north
Eretz Israel Museum; Rockefeller Museum (IAA),Tel Aviv; Jerusalem,IL,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Manx National Heritage,Isle of Man,IM,uk_north assignment list / Ancient Egyptian Animal Bio Bank blog (ancientegyptbiobank.wordpress.com),Assignment candidate; not checked.,SECONDARY,OPEN,uk_north
Baroda Museum & Picture Gallery,Vadodara,IN,WebSearch snippet (human mummy only),animal mummies not checked,SECONDARY,OPEN,rest_of_world
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,IN,assignment list; not in Museums of India portal,Egyptian gallery; animal mummies not checked,SECONDARY,OPEN,rest_of_world
Government Museum Chennai; State Museum Lucknow; Telangana State Archaeology Museum,Chennai; Lucknow; Hyderabad,IN,assignment list / WebSearch snippets (human mummies),animal mummies not checked,SECONDARY,OPEN,rest_of_world
National Museum of Iran,Tehran,IR,assignment list,not checked,SECONDARY,OPEN,rest_of_world
National Museum of Iceland,UNKNOWN,IS,assignment candidate list,Sarpur not searched,SECONDARY,OPEN,nordic_baltic
"Cinecittà Luce newsreel (Tebtunis crocodile necropolis, Italian mission)",UNKNOWN,IT,https://www.europeana.eu/item/08602/IL3000051873,Archival film of the R. missione archeologica italiana discovering the crocodile-god temple at Tebtunis - snowball source for Italian (Florence/Milan) holdings of Tebtunis crocodile mummies,SECONDARY,OPEN,portals_europe
Civico Museo Archeologico di Milano (Civiche Raccolte Archeologiche),Milano,IT,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'","Crocodile parallel cited: 'Milan, CMA 0.9.41359' / 'Milan, CMA E 0.9.41359' (small wrapped juvenile crocodile parallel)",SCHOLARLY,OPEN,southern_europe
Civico Museo Archeologico di Milano / Castello Sforzesco Sezione Egizia,Milano,IT,"Ikram et al. 2024 parallel 'Milan, CMA E 0.9.41359' (small wrapped crocodile)",Official sites museoarcheologicomilano.it and milanocastello.it return 403; Lombardia Beni Culturali only has bronzes. Resume: request record E 0.9.41359,SCHOLARLY,OPEN,southern_europe
Museo Archeologico Nazionale di Napoli (Egyptian collection),Napoli,IT,Assignment candidate list,Not checked,SECONDARY,OPEN,southern_europe
Museo Civico Archeologico di Bologna,Bologna,IT,Assignment candidate list; PatER (Emilia-Romagna catalogue) blocked 403,Check museibologna.it collection pages / Pernigotti catalogue for crocodile mummies,SECONDARY,OPEN,southern_europe
Museo Civico di Storia Naturale di Milano,Milano,IT,CMSNF Napoli page 'Le mummie dell'antico egitto' (Wayback 2022): Panceri's 1873-74 Egypt expedition (El-Maabdeh crocodile cave) was carried out 'in collaborazione col Museo Civico di Storia Naturale di Milano',Milan natural history museum may have received El-Maabdeh crocodile mummies from the 1873-74 expedition (collections heavily damaged in 1943),OFFICIAL,OPEN,southern_europe
"Museo di Antropologia ed Etnografia, Universita di Torino (MAET)",Torino,IT,"Grilletto (ed.) 1991, Materiali antropologici e zoologici ... Museo Egizio di Torino e Museo di Antropologia dell'Universita di Torino (cited in Ikram et al. 2024); Grilletto (ed.) 1991 inventory covers Egyptian zoological material there",1991 inventory covers Egyptian zoological material in the University Anthropology Museum; possible crocodile mummies | Not checked,SCHOLARLY,OPEN,southern_europe
Museo di Palazzo Poggi / Sistema Museale di Ateneo Bologna,Bologna,IT,catalogo.beniculturali.it 0800688426 (taxidermy crocodile 3.80 m),Only taxidermy found; not a mummy,SCHOLARLY,OPEN,southern_europe
Museo di Storia Naturale di Milano,Milan,IT,"Baber 2019 p. 75 (Panceri expeditions 1873-74 'in collaboration with the Museum of Natural History in Milan'), citing Scillitani 2014",Panceri/Gasco/Costa/Cornalia explored Maabdeh crocodile caves; possible crocodile mummies in Milan natural history museum (not stated),SCHOLARLY,OPEN,literature
Museo di Storia Naturale di Venezia Giancarlo Ligabue,Venice,IT,"WebSearch snippets; ResearchGate figure 'Mummia di coccodrillo, MSNVE-6864'; ESR poster 'Archeoradiology in Venice: the last travel of the Sobek's priestess'",Crocodile mummy MSNVE-6864; human mummy and embalmed crocodile found near Manfalut in 1862 by Giovanni Miani,SECONDARY,IN_MASTER INST-IT-003,toponyms
Museo Egizio (full animal-mummy catalogue),Turin,IT,"Ikram, S., Aicardi, S. & Facchetti, F. 2024. The Animal Mummies of the Museo Egizio, Turin. Studi del Museo Egizio 5","complete catalogue; will list all Turin crocodile mummies (Cat. 2351/02, P. 1458/12 known)",SCHOLARLY,IN_MASTER INST-IT-004,literature
Museo Egizio (Turin) - additional object,Torino,IT,"Tezzele 2014 thesis p. 95 fig. 55 citing Grilletto 1988, in Donadoni Roveri (ed.), Civiltà degli Egizi. Le credenze religiose, p. 186",Ichneumon-shaped mummy in Museo Egizio Torino that X-ray showed to contain a small mummified crocodile; not identified in Ikram et al. 2024 crocodile chapter or online DB - inventory unknown,SCHOLARLY,OPEN,southern_europe
"Museo Egizio - Sapienza Museo del Vicino Oriente, Egitto e Mediterraneo; Museo Barracco; Museo delle Civiltà; Museo di Zoologia",Roma,IT,Assignment candidate list,Not checked,SECONDARY,OPEN,southern_europe
"Museo Zoologico, Università di Napoli Federico II",Naples,IT,Baber 2019 p. 75 n. 32,Two mummified crocodile heads collected by Paolo Panceri at Maabdeh 1873-74; official page cited: http://www.cmsnf.it/le-mummie-dellantico-egitto/,SCHOLARLY,OPEN,literature
Padova: Museo di Scienze Archeologiche e d'Arte / Museo di Zoologia / Musei Civici Eremitani,Padova,IT,Assignment candidate list,Not checked,SECONDARY,OPEN,southern_europe
"Rovigo Accademia dei Concordi; Parma Pilotta; Reggio Emilia Musei Civici; Cremona; Como Museo Giovio; Bergamo; Brescia; Pavia; Trieste; Genova (Archeologia Ligure, Museo Doria, Castello d'Albertis); Livorno; Pisa Calci; Siena Fisiofritici; Cortona MAEC; Chiusi; Perugia; Ancona; Palermo Salinas; Catania Castello Ursino; Siracusa; Cagliari; Sassari; Torino MRSN; Asti; Varese; Novara; Aquileia; Udine; Verona MSN; Vicenza; Treviso; Trento",various,IT,Assignment candidate list,None checked - WebSearch budget exhausted; check each museum site/regional catalogue,SECONDARY,OPEN,southern_europe
University of Pisa / Medinet Madi mission store; Università degli Studi di Milano (Vogliano collection),Pisa / Milan,IT,Shimizu 2026 citing Bresciani 2015 and Siliotti 2010,"Medinet Madi (Narmouthis): c. 90 crocodile eggs, incubation structures, linen-wrapped bones of juvenile crocodiles (6-9 yrs); holdings location not stated (likely Egypt).",SCHOLARLY,OPEN,toponyms
Jordan Museum,Amman,JO,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Ancient Orient Museum (古代オリエント博物館),Tokyo,JP,https://aom-tokyo.com/exhibition/221210_akorismummy.html,"Close-up exhibition 'エジプト・アコリス出土のミイラ' (mummies excavated at Akoris), 2022-12; crocodile content not verified (page mentions staff only in grep). Akoris is a major crocodile-cult site.",OFFICIAL,CHECKED_NO_CONFIRMATION,egypt
Gunma Museum of Natural History,Tomioka,JP,https://cir.nii.ac.jp/crid/2051151842047369600,"Egyptian mummy specimens Nos.1-6 (Morimoto et al. 1998, 群馬県立自然史博物館研究報告 2); unknown whether animal mummies included",SCHOLARLY,OPEN,east_asia
MIHO MUSEUM,Koka,JP,https://www.city.shimonoseki.lg.jp/site/art/132906.html,Egyptian antiquities lender; collection not checked for animal mummies,OFFICIAL,OPEN,east_asia
Okayama Orient Museum,Okayama,JP,https://cir.nii.ac.jp/crid/1021131405744433281,Egyptian collection; special exhibition catalogue 'ミイラと神々－エジプトの来世、メソポタミアの現世' (2019) and '古代エジプト・ふしぎ発見!' (2025) may list animal mummies,OFFICIAL,OPEN,east_asia
Takahashi City Nariwa Museum (Kojima collection); Shimonoseki City Art Museum (Kawamura coll.); Middle Eastern Culture Center in Japan; Hirayama Ikuo Silk Road Museum; Matsuoka Museum; Minpaku,various,JP,https://www.city.shimonoseki.lg.jp/site/art/132906.html,Japanese Egyptian collections not yet checked for crocodile mummies,OFFICIAL,OPEN,east_asia
Tenri University Sankokan Museum,Tenri,JP,https://cir.nii.ac.jp/crid/2120026415023565312,古代エジプト遺物コレクション (Suzuki M.); new catalogue 古代エジプトの世界 (2026); not checked for crocodile,SCHOLARLY,OPEN,east_asia
"University Museum, The University of Tokyo (UMUT)",Tokyo,JP,https://www.kahaku.go.jp/albums/abm.php?d=4781&f=abm00002596.pdf&n=L_BNMNS_D48_1.pdf,Holds Egyptian human mummies (Sakaue 2022; Kamiya 2000 catalogue); animal mummies not checked,SCHOLARLY,OPEN,east_asia
Waseda University Aizu Yaichi Museum / Waseda Archaeological Materials Museum,Tokyo,JP,https://www.city.shimonoseki.lg.jp/site/art/132906.html,"Egyptian holdings lent to 2025 exhibition; Waseda Egyptology (North Saqqara animal remains, エジプト学研究 26) — holdings not checked",OFFICIAL,OPEN,east_asia
National Museums of Kenya,Nairobi,KE,assignment list,not checked,SECONDARY,OPEN,rest_of_world
National Museum of World Writing Systems,Incheon,KR,https://www.emuseum.go.kr/headerSearch?keyword=이집트,"Holds Egyptian antiquities (canopic jar of Psamtek-menti, faience shabti of Neferibre-saneith, talatat) — possible other Egyptian material; no crocodile found",OFFICIAL,OPEN,east_asia
Seoul National University Museum,Seoul,KR,https://www.emuseum.go.kr/headerSearch?keyword=악어,e-museum search '악어' lists 1 record titled '악어' held by 서울대학교박물관 (facet PS01005003); record not opened — nature (figure/specimen/mummy) unknown,OFFICIAL,OPEN,east_asia
Kuwait National Museum; Tareq Rajab Museum,Kuwait City,KW,assignment list,not checked,SECONDARY,OPEN,rest_of_world
American University of Beirut Archaeological Museum,Beirut,LB,assignment list,not checked,SECONDARY,OPEN,rest_of_world
National Museum of Beirut,Beirut,LB,assignment list,not checked,SECONDARY,OPEN,rest_of_world
National Museum of Lithuania,Vilnius,LT,"Piombino-Mascali et al. 2023 Archaeologia Lituana 24: 115-123 (cited in Yanish et al. 2025); Crossref: Piombino-Mascali, Jankauskas, Piličiauskienė, Girčius 2024, 'Crocodile Rock! A Bioarchaeological Study of Ancient Egyptian Reptile Remains from the National Museum of Lithuania', Archaeologia Lituana, https://doi.org/10.15388/archlit.2023.24.7",ancient Egyptian reptile remains ('Crocodile rock!') | Egyptian reptile (crocodile) remains studied,SCHOLARLY,IN_MASTER INST-LT-001,literature;rest_of_world
Luxembourg MNHA / MNHN; Liechtenstein,UNKNOWN,LU,assignment candidate list,Only Europeana checked (0 hits),SECONDARY,OPEN,benelux_alpine
Red Castle Museum (Assaraya al-Hamra),Tripoli,LY,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Musée d'anthropologie préhistorique de Monaco,Monaco,MC,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED (budget exhausted),SECONDARY,OPEN,france
Musée océanographique de Monaco,Monaco,MC,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED (budget exhausted),SECONDARY,OPEN,france
National Museum of Archaeology Valletta; Natural History Museum Mdina,Valletta / Mdina,MT,Assignment candidate list; Europeana Malta 'crocodile' 0,Not checked directly,SECONDARY,OPEN,southern_europe
Museo Nacional de las Culturas del Mundo (INAH),Mexico City,MX,Nierika article https://nierika.ibero.mx/index.php/nierika/article/view/862 (timeout),c.150 Egyptian pieces; read Taber's article for animal mummies,SCHOLARLY,CHECKED_NO_CONFIRMATION,rest_of_world
Allard Pierson,Amsterdam,NL,"'Animal Mummies. From Research to Outreach at the Allard Pierson' 2025, doi 10.59641/a1d7x8y9z0 (Crossref title only)",animal mummy research at Allard Pierson; crocodiles to check,SCHOLARLY,IN_MASTER INST-NL-003,literature
Naturalis Biodiversity Center; Teylers; Wereldmuseum; Univ. Utrecht/Groningen; other NL candidates,UNKNOWN,NL,assignment candidate list,Not checked individually; Europeana/Collectie Nederland 'krokodillenmummie' found only RMO and Museon (CN search rate-limited 429 before further queries),SECONDARY,OPEN,benelux_alpine
Rijksmuseum van Oudheden,Leiden,NL,"https://www.bunkamura.co.jp/museum/exhibition/21_leidenegypt/chapters.html; Raven & Taconis 2005, Egyptian Mummies: Radiological Atlas of the Collections in the National Museum of Antiquities at Leiden (cited in Oliva & Borla 2019); https://data.collectienederland.nl/api/search/v2/?q=krokodil%20mummie&format=json; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'","Japanese touring exhibition 'ライデン国立古代博物館所蔵 古代エジプト展' (Bunkamura Tokyo 2021-22 and other venues) exhibited 'ワニのミイラ ローマ時代（前30-後395年頃）' (crocodile mummy, Roman period) in the chapter on CT-scanning research done for the exhibition (scan 2019); inventory number not given online; catalogue 古代エジプト展：ライデン国立古代博物館所蔵 (愛知県美術館/中日新聞社 2020) should give it | Radiological atlas covering animal mummies; check for crocodile mummies | AMM 16a,g,h,i,k online; letters b-f, j etc. may exist offline; rmo.nl blocked (403) | Crocodile parallels cited: RMO AMM 16g, AMM 16i, AMM 16k (Raven and Taconis, Egyptian Mummies, 2005, pp. 302-305)",OFFICIAL; SCHOLARLY,OPEN,east_asia;literature;portals_europe;southern_europe
NTNU Vitenskapsmuseet / Stavanger / Tromsø,UNKNOWN,NO,assignment candidate list,DiMu covers some; Unimus portal not searched directly,SECONDARY,OPEN,nordic_baltic
Otago Museum,Dunedin,NZ,Assignment candidate list,"Egyptian collection (human mummy 1894, Hallenstein); not a DigitalNZ partner; own collections online not searched",SECONDARY,OPEN,canada_oceania
University of Canterbury Teece Museum of Classical Antiquities (Logie Collection),Christchurch,NZ,Assignment list; DigitalNZ,"DigitalNZ text=mummy shows only shroud, scarab copy, Osiris figurine; teecemuseum.nz own search not run",SECONDARY,OPEN,canada_oceania
Whanganui Regional Museum,Whanganui,NZ,Assignment list,Not searched (collection online / eHive),SECONDARY,OPEN,canada_oceania
Lahore Museum; National Museum of Pakistan,Lahore; Karachi,PK,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Muzeum Archeologiczne i Etnograficzne w Łodzi; Wrocław museums; Gdańsk; Gołuchów (MNP branch); Muzeum i Instytut Zoologii PAN,various,PL,assignment candidate list,Not checked,SECONDARY,OPEN,central_east_europe
Muzeum Archeologiczne w Krakowie,Kraków,PL,assignment candidate list,Egyptian collection incl. animal mummies?; not checked,SECONDARY,OPEN,central_east_europe
Muzeum Archeologiczne w Poznaniu,Poznań,PL,assignment candidate list,Egyptian collection; not checked,SECONDARY,OPEN,central_east_europe
Muzeum Archeologiczno-Historyczne w Elblągu (former Städtisches Museum Elbing),Elbląg,PL,Europeana API hit for 'mumia krokodyla': /0940411/_nnnr2mr 'Führer durch die Sammlungen des Städtischen Museums zu Elbing' (Elbląska Biblioteka Cyfrowa),Historic guide may list a crocodile mummy; check text and post-1945 fate,OFFICIAL,OPEN,central_east_europe
National Museum in Poznań,Poznań,PL,poznan.naszemiasto.pl news 2015,Mummified crocodile head in Gallery of Ancient Art; need official record,SECONDARY,IN_MASTER INST-PL-002,central_east_europe
National Museum in Warsaw,Warsaw,PL,cyfrowe.mnw.art.pl (JS app); Ejsmond & Przewłocki 2014 SAAC 18 (cat mummies),Digital catalogue not queried; search 'krokodyl'/'mumia' via its API,OFFICIAL,OPEN,central_east_europe
Museo de Arte de Ponce,"Ponce, PR",PR,https://www.museoarteponce.org/,Not checked.,SECONDARY,OPEN,usa_south
"Museo de Historia, Antropología y Arte, Universidad de Puerto Rico","San Juan, PR",PR,https://museo.uprrp.edu/,Holds Egyptian collection (to verify); search 'momia de cocodrilo'/'cocodrilo'.,SECONDARY,OPEN,usa_south
Museu Nacional de Arqueologia; Museu Calouste Gulbenkian; MUHNAC Lisboa; MHNC Univ. Porto; Museu da Ciência Coimbra,Lisboa / Porto / Coimbra,PT,Assignment candidate list; Europeana Portugal no hits,MatrizNet not queried,SECONDARY,OPEN,southern_europe
National Museum of Qatar / Qatar Museums,Doha,QA,assignment list,not checked,SECONDARY,OPEN,rest_of_world
"Romanian museums: Brukenthal (Sibiu), Grigore Antipa, MNIR, Iași, Oradea, Timișoara",various,RO,CIMEC Clasate checked (only Cluj crocodile),Unclassified holdings not in Clasate; check museum sites,OFFICIAL,OPEN,central_east_europe
Kunstkamera (Peter the Great Museum of Anthropology and Ethnography); Zoological Institute RAS; Zoological Museum MSU; Darwin Museum; Kazan Federal University,various,RU,assignment candidate list,"Sites reachable (kunstkamera.ru, zin.ru, zmmu.msu.ru, darwinmuseum.ru) but not searched",SECONDARY,OPEN,central_east_europe
Russian State Museum Catalogue (goskatalog.ru) - all Russian museums,various,RU,assignment,"goskatalog.ru connection reset; query 'мумия крокодила', 'крокодил мумия', 'Себек'",OFFICIAL,OPEN,central_east_europe
State Hermitage Museum,St Petersburg,RU,assignment candidate list,hermitagemuseum.org unreachable (connection failed); search collection for 'мумия крокодила',SECONDARY,OPEN,central_east_europe
Sudan National Museum,Khartoum,SD,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Bohusläns Museum,Uddevalla,SE,"WebSearch snippet (search on Samoun/Maabdeh crocodile caves, derived from a wiki page - not cited)",Two crocodile mummies allegedly from the El-Maabdeh (Samoun) caves,SECONDARY,OPEN,toponyms
Etnografiska museet / Statens museer för världskultur (archive),Stockholm,SE,https://www.europeana.eu/item/91666/SMVK_EM_arkiv_3504473,Europeana 'Krokodil Mumie' hit on an Etnografiska museet inventory list (förteckning) - not inspected; may list a crocodile mummy,OFFICIAL,OPEN,portals_europe
Gustavianum / Victoriamuseet (Uppsala University),Uppsala,SE,assignment candidate list,Not in K-samsök/DiMu hits; own DB not searched,SECONDARY,OPEN,nordic_baltic
Medelhavsmuseet (Museum of Mediterranean and Near Eastern Antiquities),Stockholm,SE,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'",Crocodile parallels cited: NME 1961:256-62,SCHOLARLY,OPEN,southern_europe
Naturhistoriska riksmuseet,Stockholm,SE,"Medelhavsmuseet Carlotta MME 1983:013 A ('Found at Riksmuseet', gift from Riksmuseet 1983)",Riksmuseet held Cronstrand crocodile until 1983; may hold more. GBIF SE Crocodylia not checked,OFFICIAL,OPEN,nordic_baltic
Östergötlands museum,Linköping,SE,https://collections.smvk.se/carlotta-mhm/web/object/3011857,Holds Medelhavsmuseet MM 10134 on loan (loan 2020.0005); own holdings not checked (DigitaltMuseum owner S-ÖM not queried),OFFICIAL,OPEN,nordic_baltic
Bardo National Museum,Tunis,TN,assignment list,not checked,SECONDARY,OPEN,rest_of_world
Topkapı Palace Museum,Istanbul,TR,"Crossref: Diker & Ulaş 2019, FSM İlmi Araştırmalar 187-210, DOI 10.16947/fsmia.582351 ('From Mystery to the Mummy in Topkapı Palace... Crocodile'); Diker, H.F. & Ulaş, A. 2019. Muammadan Topkapı Sarayı'ndaki Mumyaya, Osmanlı'da Bir Acîb'üş-Şekil: Timsah. FSM İlmi Araştırmalar İnsan ve Toplum Bilimleri Dergisi 13 (https://doi.org/10.16947/fsmia.582351; https://dergipark.org.tr/tr/pub/fsmia/article/582351); Crossref: Diker, U. 2019, 'Muammadan Topkapı Sarayı'ndaki Mumyaya, Osmanlı'da Bir Acîb'üş-Şekil: Timsah', FSM İlmi Araştırmalar İnsan ve Toplum Bilimleri Dergisi, https://doi.org/10.16947/fsmia.582351","Paper on a crocodile 'mummy' in Topkapı Palace (Ottoman curiosity); check whether Egyptian/ancient or later preparation | Paper on a crocodile 'mummy' in Topkapı Palace (Ottoman curiosity); only Turkish abstract seen - may be a stuffed/Ottoman-era specimen rather than an ancient Egyptian mummy | Article title: 'From Mystery to the Mummy in Topkapı Palace, a Strange Figure in Ottomans: Crocodile' - may concern a (possibly Egyptian) crocodile mummy in Topkapı Palace",SCHOLARLY,OPEN,central_east_europe;literature;rest_of_world
Chimei Museum; National Palace Museum; National Taiwan Museum; Shanghai Museum; National Museum of China; Hong Kong Museum of History; Singapore/SE Asian museums,various,TW,assignment list (unverified),Not checked (WebSearch budget exhausted); China/HK/Taiwan/SE Asia holdings unknown,SECONDARY,OPEN,east_asia
D.I. Yavornytsky National Historical Museum of Dnipro,Dnipro,UA,Yanish et al. 2025 Archaeologia Lituana 26: 247 (citing Fomenko & Shamray 2006),"crocodile mummy/mummies (4 crocodile mummies across NPKPL, OAM, DYDHM)",SCHOLARLY,IN_MASTER INST-UA-001,literature
Kyiv-Pechersk Lavra National Preserve,Kyiv,UA,"Crossref: Yanish, Piombino-Mascali, Rosendahl 2025, Archaeologia Lituana 26, doi 10.15388/archlit.2025.26.10; https://doi.org/10.15388/archlit.2025.26.10 (Crossref metadata only); Yanish et al. 2025; Crossref: Yanish, Piombino-Mascali, Rosendahl, Chen 2025, 'An Egyptian Mummified Crocodile from the Kyiv-Pechersk Lavra National Preserve (Ukraine)', Archaeologia Lituana, https://doi.org/10.15388/archlit.2025.26.10; Crossref: 'An Egyptian Mummified Crocodile from the Kyiv-Pechersk Lavra National Preserve (Ukraine): Archaeological and Morphological Considerations', Archaeologia Lituana 2025, doi 10.15388/archlit.2025.26.10","'An Egyptian Mummified Crocodile from the Kyiv-Pechersk Lavra National Preserve (Ukraine): Archaeological and Morphological Considerations'. | Yanish, Piombino-Mascali, Rosendahl 2025, 'An Egyptian Mummified Crocodile from the Kyiv-Pechersk Lavra National Preserve (Ukraine): Archaeological and Morphological ...', Archaeologia Lituana 26 | crocodile mummy KPL Arh-826, 165 cm | Egyptian mummified crocodile | Egyptian mummified crocodile held by the Kyiv-Pechersk Lavra National Preserve",SCHOLARLY,IN_MASTER INST-UA-002,egypt;germany;literature;rest_of_world;toponyms
Odesa Archaeological Museum; Khanenko Museum; National Museum of Natural History Kyiv,various,UA,assignment candidate list,Not checked,SECONDARY,OPEN,central_east_europe
Odessa Archaeological Museum of the NAS of Ukraine,Odesa,UA,Yanish et al. 2025 p. 247,crocodile mummy Inv. No. 1208; two snake mummies,SCHOLARLY,IN_MASTER INST-UA-003,literature
