RWC5R2HJ7NKKSIRRIQGB3BDWHLIJTQQY | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierfigur aus Ton | Brasilien; Mato Grosso; Berlin
NMFAW4EPTJ6X5KR7UYKBV2VLZRJID6H5 | Krokodil, Pzkpfw ca. 30 t, für schnelle Flussdurchquerungen | Bundesarchiv | Akte | 
NTLE4BSPAMTPJT3TQNT3GZHQGZQ27LRG | "Das Krokodil. Ein Carnevals-Abenteuer in acht Bildern" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
QAWKD3HLPQBZPY56C7L66FL7ZC2JJRQN | Müller, Renate geb. 1945 Krokodil, Therapeutisches Spielzeug. 1974 | Akademie der Künste, Archiv | Bild | 
TNCL5NECBEHIOXEZEWYWR3OWUAIQHSHH | Zwischen Krokodilen und Kängurus : meine Abenteuer in Australien | Deutsche Nationalbibliothek |  | Australien; Schönbrunn; Frankfurt am Main
UUKMWEQQN7OSTB4ZU2GMB7GIX5JSZNYC | Mit den Krokodilen ringen : gesammelte Essays und Reiseberichte | Deutsche Nationalbibliothek | Erlebnisbericht | Hanau; Frankfurt am Main
WAX72ONEJ2AWLJYPGDAOZV2WE4UQQ25Y | Das Krokodil im Schlafzimmer und andere fabelhafte Geschichten | Deutsche Nationalbibliothek |  | Oldenburg; Frankfurt am Main
XDJXXSVRFA7SC4GSHL7YEFHVTHG2ZRQX | "Das Krokodil. Ein Carnevals-Abenteuer in acht Bildern" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
YMC5YYOPUBUECZ7NB65K5CLZAXDYMWCZ | Das Krokodil, das kommt aus Kiel : Onkel Theo erzählt 22 neue fast wahre Geschichten | Deutsche Nationalbibliothek | Anthologie; Kinderbuch; Kinderbücher bis 11 Jahre | Kiel; Offenbach am Main; Frankfurt am Main
C4KPTFI7N65W4PMKE756QOMATPDDZK7Z | Rabelais, Les Songes Drolatiques de Pantagruel, XXXVIII [Karikatur eines Mannes mit dem Kopf eines Krokodils und Armbrust] | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
AEZJM6HEOAW4N3CKCRAFUZ2WNZZZN233 | Träume vom Ausbruch : Affirmationen und Brüche Weißer Normalität im Film Die Einsamkeit der Krokodile | Digitales Deutsches Frauenarchiv; belladonna Kultur, Bildung und Wirtschaft für Frauen e.V. / Bremer Frauenarchiv und Dokumentationszentrum belladonna | Artikel | 
A3QLOI7TKHUKJJOODNBA4IKDGQDWK3IT | Planungen zu Umbau und Umgestaltung der Gaststätte "Krokodil" in der Waldstraße 63 | Stadtarchiv Karlsruhe | Bild | 
BECTSPCDY3V4Y7HOHSNIRGAJRZOCPLRY | Staatliche Kunsthalle Karlsruhe. Ausstellung "Komm´und spiel´ mit dem Krokodil" im Kindermuseum | Stadtarchiv Karlsruhe | Bild | 
BTGDZBMDXGQAEQ5ADE4QOT6GL5CBHTUV | Die große Insel Kuba und umliegende Landschaft (Landkarte und Bildfeld mit Krokodil) | Stiftung Deutsches Historisches Museum |  | Berlin
JIITCMECN2S5PXDWD4C7ZJX6EEZ4SBR6 | Spielzeug: Igel aus Persien und Krokodil aus Ägypten, um 1100 v. Chr. | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | 
LVTFQECMRA4HSYL46BQCMXLQB4TFV7PD | Vierzehntes Kapitel: Sklaven-Transport. Ihr Glaube. Kéneh. Tänzerinnen. Töpfereien. Abadeh. Krokodile. Denderah | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Kapitel | 
4YK5YRQ43IK5GH6ECI3D7L7ZNC6PKWQG | Das rhätische Krokodil Ge 6/6' : Geschichte rund um das Rhb-Krokodil ; Unterhalt, Betriebseinsatz und Bedienungsanleitung, viele bisher unveröffentlichte Bilder | Deutsche Nationalbibliothek |  | Zürich; Frankfurt am Main
THPXMKD3QT332EA7ZTATIVJSGB223RGJ | Vom Unterschied zwischen Schildkröte und Krokodil : die lange Reise von Ostberlin über Togo nach Westberlin | Digitales Deutsches Frauenarchiv; Genderbibliothek des Zentrums für transdisziplinäre Geschlechterstudien an der Humboldt-Universität zu Berlin; Zentrum für transdisziplinäre Geschlechterstudien an der Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin | Artikel | 
A2Y772D47WSMIEG2COJ2XSR6434UUWTD | Briefe an Oskar Horn aus dem Kreise der Münchener Krokodile und der ihnen Nahestehenden - BSB Cgm 6540 | Bayerische Staatsbibliothek | Text | München
LE3B5KAUFCXPOZ2NGV43W5II2VBZV7E7 | Die Terrarientiere, Bd. 2.. Pflanzen im Terrarium, Zucht und Aufzucht, Freilandaufenthalt und Überwinterung, Krokodile, Echsen, Schlangen | Deutsche Nationalbibliothek | Wörterbuch | Stuttgart; Frankfurt am Main
25URHFVG34TFHS6B7OYF6XCOXX4WFNNF | Das Krokodil und sein Nilpferd (DT) (Regie: Italo Zingarelli) | Bundesarchiv | Archivale | 
2U5H5HF6FPN3KBTKNDXNGYS454X2YKHI | Ich schwimme nicht mehr da, wo die Krokodile sind | Deutsche Nationalbibliothek | Erlebnisbericht | Neu-Isenburg; Frankfurt am Main
2UGVUYGT5IBBTWUIYXVNC4E3V6YJYRLZ | 4 1/2 Freunde und das Krokodil im Internet | Deutsche Nationalbibliothek |  | Stuttgart; Wien; Frankfurt am Main
3A2FVGSFQDYIESYASHFBVDAMLNHCEVBF | Das Krokodil in der Klemme und andere turbulente Reimgeschichten | Deutsche Nationalbibliothek |  | Bremen; Egelsbach; Frankfurt a.M.; München; New York; Frankfurt am Main
3JJBD4ZOJLZJXEDXXKZSF5TB6PFQFKDO | Gute Nacht, Krokodil! : tierische Betthupferl-Geschichten und lustige Verse | Deutsche Nationalbibliothek | Anthologie; Erzählerische Bilderbücher; Kinderbuch | Kindenheim; Frankfurt am Main
3LED43ZOMQN7IRBNKDEG42YT6XZVHL6L | Vom Vergnügen mit Krokodilen zu baden : Safarigeschichten aus Afrika | Deutsche Nationalbibliothek | Reisebericht | Afrika; Herdecke; Frankfurt am Main
4TZNWND4DCMTK2NDRESMEA6Z2K3S3GPB | Krokodile : [verf. von Lesley Dow. Übers. von Derek Vinyard] | Deutsche Nationalbibliothek |  | Hamburg; Frankfurt am Main
6TBFQPNYXNPG3SX6QYC2CQ2NTGAJR3XX | Schweizer Krokodile : die berühmten Gotthard-Loks und ihre Schwestern | Deutsche Nationalbibliothek | Bildband | Freiburg; Frankfurt am Main
7AAXVWLL7JQVOD7SKSYJTNSISDMQDBUR | Im Anfang war das Krokodil : fünfzehn Reportagen mit Sinn | Deutsche Nationalbibliothek |  | Düsseldorf; Frankfurt am Main
BQECPB25TQ4GNE6FWUXEEVSI2KW4CV3E | Das Krokodil und der Königsfischer : afrikan. Märchen u. Sagen | Deutsche Nationalbibliothek |  | Berlin; Frankfurt am Main
BSK7XJIGFXYHOT77BHZWB4G4BFWP3Q66 | In der Bar zum Krokodil : die Schlagerwelt der Zwanzigerjahre | Deutsche Nationalbibliothek | Ausstellungskatalog | Bielefeld; Frankfurt am Main
CC7NFXNZTI4PY627IPEUBREP3FSJLV6N | Festschrift zum 70jährigen Besstehen der (Herren)Gesellschaft "Vergnügtes Krokodil" | Archive in NRW; Stadtarchiv Münster | Archivale | 
COF6T5UXPWTNJKKSC6SC645D4GXUIV25 | Madagaskar - der sechste Kontinent : von heiligen Krokodilen und Seeräubern | Deutsche Nationalbibliothek | Reisebericht | Madagaskar; München; Frankfurt am Main
GYIDZKMSJ2UU7RE5WEA5JEZK3WWPF4K6 | Gott und die Krokodile : eine Reise durch den Kongo | Deutsche Nationalbibliothek | Erlebnisbericht | Demokratische Republik Kongo; München; Frankfurt am Main
GYKTBSLYJHB3LAFER2RBVB4HZVCTBYFX | Die schönen Krokodil-, Schlangen- und Eidechsleder. Kleine modische Kulturgeschichte. | Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv |  | Baden-Baden
HDNAOZFIKULNQVZXNGSDVQ6VPOXPBF2N | Reptilien und Amphibien Mittelamerikas, Bd. 1.. Krokodile, Schildkröten, Echsen | Deutsche Nationalbibliothek |  | Offenbach; Frankfurt am Main
HJ63GSPD555PW5VDJBTOVYHQQUGIAX37 | Das Krokodil in der Höhle : Kindergeschichten aus aller Welt | Deutsche Nationalbibliothek |  | Wuppertal; Frankfurt am Main
HLUQHLFMTVTBQXASRQIQAI2YU4EV5WJ2 | Madagaskar - der sechste Kontinent : von heiligen Krokodilen und Seeräubern | Deutsche Nationalbibliothek | Reisebericht | Madagaskar; [München]; Frankfurt am Main
JBYIXQKRKJITRS3SMLXCDMQSUWFY6RFG | So macht es das Krokodil : das Sexualleben der Tiere | Deutsche Nationalbibliothek |  | München; Frankfurt am Main
JCASPKTK4HIIXYVOFDM23472GYK4WLAT | Die Krokodile ziehen um : 10 000 Kilometer durch Schwarzafrika | Deutsche Nationalbibliothek |  | Berlin; Frankfurt am Main
JGTIBTCY7GPJVL4KGA67OJ7ZIVXQ5KZP | Warum der Fuchs das Krokodil fürchtet : Märchen aus Puntland | Deutsche Nationalbibliothek |  | Bad Honnef; Unkel/Rhein; Frankfurt am Main
JQQ5I7TH4CEKXO54A6UJXVO4LZ7C4AP2 | "Der starke Hiesl" "Unverfroren" "Wie fängt man ein Krokodil?" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
KT6DRUIDZEL6OU4677433U3RQIUAHAPF | Das Krokodil und der Pharao : eine Anthologie altägyptischer Literatur | Deutsche Nationalbibliothek | Anthologie | Darmstadt; Mainz; Frankfurt am Main
M2MAZBFJISX4DB42NREXS4JYGTRN5EQU | "Katja und das Krokodil" (Autor: Gernet, Nina; Jagdfeld, Grigori) | Bundesarchiv | Akte | 
MTVN2H6GHJVCTMD3L3VFRFOXI6QFIRLB | Ich schwimme nicht mehr da, wo die Krokodile sind | Deutsche Nationalbibliothek | Erlebnisbericht | Neu-Isenburg; Frankfurt am Main
N4BN3HYZEXRV2QHBSPQOXI7P4U3T5RNO | Urrua das Krokodil : Eine Erzählung aus Afrikas dunkelsten Urwäldern | Deutsche Nationalbibliothek |  | Paderborn; Frankfurt am Main
NLHR5GXHQW2U6G7SKNHJNEK7DFBXSUCK | Urrua das Krokodil : Eine Erzählung aus Afrikas dunkelsten Urwäldern | Deutsche Nationalbibliothek |  | Paderborn; Frankfurt am Main
NPWQYZD6UMBITW37B6XTZ7FCLOP6F5DP | Eiskaltes Bier und Krokodile : mit dem Fahrrad durch Australien | Deutsche Nationalbibliothek | Reisebericht | Australien; Hamburg; Frankfurt am Main
PONHACAXZC4TP46RAKNLHODDLYENDVMQ | Eiskaltes Bier und Krokodile : mit dem Fahrrad durch Australien | Deutsche Nationalbibliothek | Reisebericht | Australien; München; Frankfurt am Main
QEZB2VWOJ55INUJTD6HDPTWGEXDR5XUF | Das gelbe Krokodil : Possen und Poeme eines Everswinkeler Dorfschreibers | Deutsche Nationalbibliothek | Anthologie; Gemischte Anthologien | [Bielefeld]; Frankfurt am Main
QFMMJPI6ZJDG2ZWRYCG224BJYB62YWLF | Das Krokodil in der Höhle : Kindergeschichten aus aller Welt | Deutsche Nationalbibliothek |  | Wuppertal; Frankfurt am Main
VHFD2G7AG5B7UIGFDWLHPK3ETU4EXXOB | Ein Krokodil zum Beispiel : Wandbilder z. Basteln u. Bemalen | Deutsche Nationalbibliothek |  | Weinheim, Basel; Frankfurt am Main
VMAA2RCHLWDWLCMKI4JRWO4AMHBBXAMR | Arthur Schill's Hackepeter-Betriebe und Speise-Restaurants Zum Krokodil | Landesarchiv Berlin | Archivale | 
WVHGH4XUOQP6GZPNZX7VJ6BCFNYYIFE2 | Das Krokodil und der Königsfischer : afrikan. Märchen u. Sagen | Deutsche Nationalbibliothek |  | Olten, Freiburg i. Brg.; Frankfurt am Main
XQ3EOTBCVQMJJHK4H773WKJK6MA6YUGZ | Das Krokodil und der Königsfischer : afrikan. Märchen u. Sagen | Deutsche Nationalbibliothek |  | Berlin; Frankfurt am Main
XTBH3ZOJPQTW3Y7XLOCMNMVLF5CAOQJM | Urrua das Krokodil : Eine Erzählung aus Afrikas dunkelsten Urwäldern | Deutsche Nationalbibliothek |  | Paderborn; Frankfurt am Main
ZCLMIV4QEVAHMC3FWT4G34SOFSHCIJIG | Amerika mit Falke, Pfeil und Bogen, Affe und Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Schloss Oranienstein (Schloss (Bauwerk)), Diez, Nordflügel, Erdgeschoss, Blaugoldener Saal / Festsaal (Saal), Decke
ZWJIO2EBT264GFDQJMOYLJ6HUEMLKTTG | 4 1/2 Freunde und das Krokodil im Internet | Deutsche Nationalbibliothek |  | Gütersloh]; [Rheda-Wiedenbrück; Frankfurt am Main
3G6LSWVN3DBF7OSTRBXVZBXBZZLXYVY5 | [Tafel] 29. [Der Hund und das Krokodil.] 30. [Die Katze und die Sperlinge.] | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Illustration | 
6TBCN7LOJLYHKJ2BP4I6MMZZ5RZAYR5C | Zu Tafel X. Das Nashorn. Das Gnu. Das Krokodil. Der Ichneumon. Das Zebra. | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Abschnitt (Publikation) | 
A6TDSTFHSTP45YHK3ZHB3J4DWURTZRXL | [Albumeintrag für Wilhelm Hemsen] : Heut', wo die Krokodile sich vereinen ; An Benjamin Hemsen. | Universitäts- und Landesbibliothek der Rheinischen Friedrich-Wilhelms-Universität Bonn; Rheinische Friedrich-Wilhelms-Universität Bonn | Handschrift; Lyrik | [o.O.]
IQWFVS2PKUAIRPLEVDGPGD5ZB3F4DS6Z | [Albumeintrag für Wilhelm Hemsen] : Heut', wo die Krokodile sich vereinen ; An Benjamin Hemsen. | Universitäts- und Landesbibliothek der Rheinischen Friedrich-Wilhelms-Universität Bonn; Rheinische Friedrich-Wilhelms-Universität Bonn | Handschrift; Lyrik | [o.O.]
NLALKRA2WOUVJWXKRBLLXTUVZAW3LRNY | Karikatur der Revolution 1848/1849 in Gestalt eines Krokodils mit Bischofs- und Jakobinermütze | Stiftung Deutsches Historisches Museum | Karikatur | Berlin
OJIHU2I3NQW4NR4A3L7V6JUBDFVVTMFG | Vortrag des Bundesministers für besondere Aufgaben Prof. Werner Maihofer in der Gaststätte "Krokodil" | Stadtarchiv Karlsruhe | Bild | 
O773MQGAXD5GUCGEJS32N7ISCRMBPAHL | Zensur des Theaterstücks: Unter Krokodilen. Burkleske von Rudolph Stange. Handschrift. Genehmigt 28.06.1879 Quarg's Vaudeville-Theater | Landesarchiv Berlin | Archivale | 
3DZNN7IS2A7LPWP3NV3EALUEBNOMXDGM | 4 1/2 Freunde und der Schrei aus dem Lehrerzimmer und das Krokodil im Internet : [Doppelband] | Deutsche Nationalbibliothek | Kinderbücher bis 11 Jahre | Gütersloh]; [Rheda-Wiedenbrück; Frankfurt am Main
2QLHRL5O47BUOSA6HRGGI3EKHXWNVZJF | In der Bar zum Krokodil : Lieder und Songs als Gedichte | Deutsche Nationalbibliothek | Anthologie; Lyrik | Göttingen; Frankfurt am Main
4K5J6UBOB3HY3VHZ67SBWGZEW65PXU7W | Der Cyborg und das Krokodil : Technik kann auch glücklich machen | Deutsche Nationalbibliothek | Text | Hamburg; Frankfurt am Main
53YEYAR7DUZGRE4O3CIKX5PSZPBXRD6A | Lepra, Ahnenglaube und Krokodile : unsere Mission für Jesus in Afrika | Deutsche Nationalbibliothek | Erlebnisbericht | Benin; Madagaskar; Heiligenkreuz im Wienerwald; Wien; Frankfurt am Main
5NI757AKTGPYRGUQUNPTVGFUPKYDWEJX | Ein Krokodil zum Frühstück : verblüffende Geschichten vom Verhalten der Tiere | Deutsche Nationalbibliothek | Erlebnisbericht | Berlin; Frankfurt/M; Frankfurt am Main
6WOS4BICCPSLVVICJOH3FFYQZVR57RMH | Spiel nicht mit dem Krokodil : Grotesken am Rande d. Pädagogik | Deutsche Nationalbibliothek |  | Bern, Stuttgart; Frankfurt am Main
7XYX32RESVJ5I22APYSIXX6EHH33ASDM | Ein Krokodil zum Frühstück : verblüffende Geschichten vom Verhalten der Tiere | Deutsche Nationalbibliothek | Erlebnisbericht | Berlin; Frankfurt/M; Frankfurt am Main
BAA36YP4P3MNYDAWZQAOHE6DMZEGF3UR | Auch hier schnappen die Krokodile. Komödie für den Funk geschrieben | Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv |  | 
DAQXHCP3RRSZMFRZ4TXTYTRDKF4BTNUN | Im Meer schwimmen Krokodile : die wahre Geschichte von Enaiatollah Akbari | Deutsche Nationalbibliothek | Lehrmittel | Stuttgart; Frankfurt am Main
DUFWH4W6SWUNRZGUVA2KMVAAXKVO2PNQ | Ein Krokodil zum Frühstück : verblüffende Geschichten vom Verhalten der Tiere | Deutsche Nationalbibliothek | Erlebnisbericht | Berlin; Frankfurt/M; Frankfurt am Main
EPYIZBY4O4KGR7JVRETUSRITLR7Q5KAM | Innenansicht des Tiergeheges mit einem Krokodil des Aquarienvereins am Schützenplatz | Archivverbund Stadtarchiv/Staatsfilialarchiv Bautzen | Archivale | 
GASVB57JQV2P4VWR2Y3WGTQQW4E7CERH | Dokumente von Professor Erich Huth Zusammenkunft der Altpennäler im Krokodil | Landesarchiv Baden-Württemberg | Archivale | 
HQL6UCPUBDHHNMFFFURO4O7EX7L5FWFT | Krokodil - Fieber : Jagd auf das gefährlichste Wild im tropischen Afrika | Deutsche Nationalbibliothek |  | Wiesbaden; Frankfurt am Main
JGH76LOB5UGKGRHCWFC3EMYOLC6ENFBO | Die Einsamkeit der Krokodile (DT) (Land: BRD, Regie: Jobst Oetzmann) | Bundesarchiv | Archivale | 
KELQTEM2R5XGT7WCZ2YDYDCZQRW2I4LW | Emmendingen: Denkmal von 1871 auf dem Friedhof; Kind mit Krokodil | Landesarchiv Baden-Württemberg | Bild | 
MSXO5L2STX42VL7M5AOYVP45CQG4FMOF | Katja und das Krokodil (DT) (Land: CSSR, Regie: Vera Simkova) | Bundesarchiv | Archivale | 
N4AMOCXF7X6QRPABVAQOSZJKX4OONWQE | Im Canyon der reißenden Krokodile. Schwarzes Abenteuer am blauen Nil | Münchner Stadtbibliothek / Monacensia im Hildebrandhaus - Literaturarchiv | Archivale | 
PWIMKW5KC5ISZ5MROK4NIKXAQDZ3JHZE | Das "kleine Krokodil" : die elektrische Güterzuglokomotive der BR E 93 | Deutsche Nationalbibliothek |  | Nürnberg; Frankfurt am Main
RSVXCRMWPP3UBYXMJCH3KZ5CIRNF7FNZ | Jagd auf die Raubkarawane, Bd. 2.. Am See der Krokodile | Deutsche Nationalbibliothek |  | München; Frankfurt am Main
TAOKSTMBTZPIGZFRRKWBNL47WX5LW5VJ | Ethologische Untersuchungen der Wahrnehmung von Oberflächenwellen des Wassers bei Krokodilen | Deutsche Nationalbibliothek |  | Bonn; Frankfurt am Main
WYXGOTGBLWCG3LYR4RC43TJFIOCWNAQD | Gasthaus ''Zum Krokodil''; Gießen, Grünberger Straße 31, Grünberger Straße 31A | Landesamt für Denkmalpflege Hessen | Baudenkmal | Gießen
XG47WDWWUNNWNC5TDXN4RNDOPI5WO5ZP | Simplicissimus.Krokodil Hummer. Zur Erleichterung des Abschiedes von Hermann Staudinger. | Universitätsarchiv der Albert-Ludwigs-Universität Freiburg; Albert-Ludwigs-Universität Freiburg | Sachakte | 
XI6NRGMPSPJM555WCBXIKWKROXEZWHC3 | Emmendingen: Denkmal von 1871 auf dem Friedhof; Kind mit Krokodil | Landesarchiv Baden-Württemberg | Bild | 
XPPQWI47IWRW3G2JMS2PE5XZPHUSWD2T | Jagd auf die Raubkarawane, Bd. 2.. Am See der Krokodile | Deutsche Nationalbibliothek |  | Wien, München, Zürich, Innsbruck; Frankfurt am Main
XXNO5XVZEEMOBCDZGTKJWKH7BLK37FBI | Das nette Krokodil : 23 Geschichten f. Kinder u. andere Leute | Deutsche Nationalbibliothek |  | Bayreuth; Frankfurt am Main
Z25OWR452ENMHYUHCVJGQFVYK77PV7CY | Ein Krokodil zum Frühstück : verblüffende Geschichten vom Verhalten der Tiere | Deutsche Nationalbibliothek | Erlebnisbericht | Berlin; Frankfurt/M; Frankfurt am Main
Z3SXC64KMI4F6TBMZSS4QFTZED3OMRDK | Emmendingen: Denkmal von 1871 auf dem Friedhof; Kind mit Krokodil | Landesarchiv Baden-Württemberg | Bild | 
CHWIYKDVJBZLLLUWAYM6SSVMM5DTPZDM | Delphine und Krokodil, Blatt 15 der Folge "Vita beatæ mariæ virginis matris dei emblematibus" | Kunsthalle Bremen - Der Kunstverein in Bremen | Druckgrafik | Bremen
K3KDZGK5ZOJLHQC43KVXHTVSTHT3MWDT | Vergebliche Suche nach einem Krokodil, 3,08 km von der Boliche Sao Bento entfernt | Leibniz-Institut für Länderkunde e. V. | Fotografie | Leipzig
LBMR4JP3V5LVPZGDVVODRV2OLDVKQOEC | Die Krokodile Neuguineas : variationsstatist. Unters. mit Beitr. zur Brutbiologie und Ökologie von Crocodylus porosus und Crocodylus n. novaeguineae | Deutsche Nationalbibliothek | Hochschulschrift | Neuguinea; Frankfurt am Main
B33KBU2GPTY7IUGPVNDPRDNKQBN2WY2V | Saurierpark, Urzoo in Kleinwelka bei Dresden in Sachsen, 1990. Hier im Wald stehen Dutzende von Sauriern in Original-Groesse, hergestellt aus Beton. Ur-Krokodil mit Besuchern | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Kleinwelka
AVQC74ECHMPGTF2T7OSMWRFU4G3MSWEF | "Wunder der Dressur, oder : Das Krokodil als Meerrettig-Reibeisen" "Wer Ander´n eine Grube gräbt, fällt selbst hinein" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
2RNMEWPM2JXUDUIACWOTAN22EQGNJT5N | Образ Польши в советской карикатуре в 1922-1939 гг. (по материалам журнала „Крокодил“) | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Artikel (Publikation) | 
DLEMDZDHQ54NGCP4J7YAJNTGLY5MIQK7 | Tiedemann, F. ; Oppel, M. ; Liboschütz, J.: Naturgeschichte der Amphibien. H. 1. Gattung: Krokodil. Heidelberg: 1817 | zvdd – Zentrales Verzeichnis Digitalisierter Drucke; Thüringer Universitäts- und Landesbibliothek Jena; Friedrich-Schiller-Universität Jena | Aufsatz | 
UPJ6CLEJXLKBHLVZGWISS4BZCZFEBM4B | Der Heilige Theodor auf der Säule an der Piazetta mit Schild, Speer und Krokodil, abends | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Venedig
WLVFXY7FDJUALXHTJGWXAJPM6PG7EKX3 | Von Krokodilen, Hebammen und großen Männern : Spinellis Erben und ihr Plädoyer für ein föderalistisches und post-nationales Europa | Deutsche Nationalbibliothek |  | Europa; Tübingen; Frankfurt am Main
4KDREHO5B3DBLZRRJXDSPALYIUNLNC43 | Wie man ein Krokodil fängt, ohne es zu verletzen : innovative Hypnotherapie | Deutsche Nationalbibliothek | Aufsatzsammlung; Fallstudiensammlung | Heidelberg; Frankfurt am Main
5GF7WYEAJ6GXX5HVKDCEUX3WDJW7D6QV | Vorstadt-Krokodile : Literatur-Kartei zum Jugendbuch von Max von der Grün | Deutsche Nationalbibliothek | Lehrmittel | Mülheim an der Ruhr; Frankfurt am Main
6WCZQLWSW4BCVFWTRT4D5VPCWYHTGTXE | Alfons Maria Tränkler "Frühlingsgedanke", Ölbild;. Alfons Maria Tränkler "Kämpfende Krokodile", Bild | Archive in NRW; Stadtarchiv Düsseldorf | Sachakte | 
7HEP7CWDURNWW2MPGAW4WNUBMWWS7AHC | Kolibris und Krokodile : mit d. Pferd durch d. Urwälder d. Amazonas | Deutsche Nationalbibliothek | Reisebericht | Amazonastiefland; München; Frankfurt am Main
7MLSBYAN5HSJACVQEVNDAN4LOK4E2ZO6 | Wie man ein Krokodil fängt, ohne es zu verletzen : innovative Hypnotherapie | Deutsche Nationalbibliothek | Aufsatzsammlung; Fallstudiensammlung | Heidelberg; Frankfurt am Main
D2FSTTGOA7E2JMYQX5DWVXABIVCYGLUL | Das Krokodil unterm Kirchturm : was passiert in der Kirche? ; A ... Z | Deutsche Nationalbibliothek | Kindersachbuch; Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Religion, Philosophie, Psychologie | Frankfurt, M.; Frankfurt am Main
EDGY5VVRYQHOJOK7YMS45TKL4S3SMNQG | Sturzflug mit Krokodil : Abenteuer zwischen Himmel, Hölle und sonstwo - Nachmachen erlaubt! | Deutsche Nationalbibliothek | Erlebnisbericht | München; Frankfurt am Main
EKESIJM5NGMLDMN4QQKQYUNG4XFU24ZV | Diejenigen, die Gegenstände auf die Krokodile werfen, werden aufgefordert, sie zurückzuholen | Deutsche Nationalbibliothek | Fiktionale Darstellung; Humor, Satire | Berlin; Frankfurt am Main
FDI7A7BO5AK4M7KO5YXEJ7SDSLN722SA | Im Kampf mit dem Krokodil : Erlebnisse am Kahajan-Fluss in Borneo | Deutsche Nationalbibliothek |  | Basel; Stuttgart; Frankfurt am Main
HMTH4A23EIFTGCWDRQ4SFVJJA6H3ZT7K | Ein Krokodil kommt selten allein : [acht Tiergeschichten zum Vorlesen und Selberlesen] | Deutsche Nationalbibliothek | Anthologie; Kinderbuch | München; Frankfurt am Main
HTWM5U5OJ7A325L3BRWTIHHI5ZV4WZ7Z | Zärtlich wie ein Krokodil : Überraschende Erkenntnisse aus d. Familienleben d. Tiere | Deutsche Nationalbibliothek | Text | Hamburg; Oldenburg; Frankfurt am Main
M7KYQ7CX4ZVBNZM4OKH44D5FYUHQVNK2 | Krokodil im Schwanensee - Tanz in Deutschland seit 1945 (Ausstellung und Veranstaltungen) | Akademie der Künste, Archiv | Archivale | 
MA237WEQ6X3MPDRJJTHRNZZN75QHJ4VP | Kauf mir ein Krokodil! : ein Ratgeber für die Wahl deines Haustiers | Deutsche Nationalbibliothek | Kindersachbuch; Ratgeber | Berlin; Frankfurt am Main
SSKP44HD56TO5PGQ3D6ZCJY6KI6VOQEX | 444 ... und nun ein Krokodil : ein Romanprojekt des Akademischen Gymnasiums Graz | Deutsche Nationalbibliothek | Fiktionale Darstellung; Science Fiction, Fantasy | Wien; Frankfurt am Main
SZEOLYNE7NMVVCHHRNLRK4UPYPG5VGQO | Die beiden kryptographisehen Inschriften aus Esna mit den Widdern und Krokodilen | Deutsche Nationalbibliothek |  | Isna; Heidelberg; Frankfurt am Main
TXOYEB37WAE2OQTLLBXRF3F5WVLBS6MB | Echsen, 2.. Warane, Skinke und andere Echsen sowie Brückenechsen und Krokodile | Deutsche Nationalbibliothek |  | Stuttgart; Frankfurt am Main
VMT57G4TJCMCRWHY7LYGXDGEKEJBWMUP | Elektrolokomotive 254 (E 94) "Krokodil", Radsatzanordnung Co´Co´, Indienststellung 1940-1956 | Sächsisches Staatsarchiv | Bild | 
W6MC7HA3UZLCEQ46BSM4R62EW5NKB7EU | Krokodil im Schwanensee. Tanz in Deutschland seit 1945 AdK Hanseatenweg | Akademie der Künste, Archiv | Bild | 
